index,date,value,amount
HNX 30,2017-01-03,145.99,17.87K
HNX 30,2017-01-04,146.78,12.82K
HNX 30,2017-01-05,146.21,11.15K
HNX 30,2017-01-06,147.63,13.54K
HNX 30,2017-01-09,149.06,13.74K
HNX 30,2017-01-10,150.25,16.19K
HNX 30,2017-01-11,150.58,9.46K
HNX 30,2017-01-12,150.57,9.85K
HNX 30,2017-01-13,150.29,11.24K
HNX 30,2017-01-16,149.14,9.36K
HNX 30,2017-01-17,150.2,8.27K
HNX 30,2017-01-18,148.45,8.52K
HNX 30,2017-01-19,147.58,6.53K
HNX 30,2017-01-20,148.81,6.49K
HNX 30,2017-01-23,148.24,6.98K
HNX 30,2017-01-24,149.81,5.90K
HNX 30,2017-01-25,151.36,5.97K
HNX 30,2017-02-02,150.74,6.15K
HNX 30,2017-02-03,151.78,15.38K
HNX 30,2017-02-06,152.9,23.74K
HNX 30,2017-02-07,153.79,24.51K
HNX 30,2017-02-08,153.74,17.98K
HNX 30,2017-02-09,154.1,15.24K
HNX 30,2017-02-10,154.93,18.35K
HNX 30,2017-02-13,157.39,23.36K
HNX 30,2017-02-14,156.78,24.39K
HNX 30,2017-02-15,157.33,18.93K
HNX 30,2017-02-16,155.78,30.59K
HNX 30,2017-02-17,156.07,21.54K
HNX 30,2017-02-20,158.23,26.05K
HNX 30,2017-02-21,158.75,26.28K
HNX 30,2017-02-22,158.57,22.02K
HNX 30,2017-02-23,157.6,19.91K
HNX 30,2017-02-24,157.46,25.19K
HNX 30,2017-02-27,158.29,30.57K
HNX 30,2017-02-28,158.33,30.72K
HNX 30,2017-03-01,157.9,27.44K
HNX 30,2017-03-02,157.97,26.36K
HNX 30,2017-03-03,156.95,16.60K
HNX 30,2017-03-06,157.33,25.07K
HNX 30,2017-03-07,157.76,23.86K
HNX 30,2017-03-08,158.89,25.29K
HNX 30,2017-03-09,158.68,21.12K
HNX 30,2017-03-10,159.27,24.87K
HNX 30,2017-03-13,157.2,26.55K
HNX 30,2017-03-14,157.91,21.34K
HNX 30,2017-03-15,157.93,21.74K
HNX 30,2017-03-16,159.97,23.02K
HNX 30,2017-03-17,160.58,32.31K
HNX 30,2017-03-20,161.93,25.22K
HNX 30,2017-03-21,163.32,28.76K
HNX 30,2017-03-22,161.92,30.58K
HNX 30,2017-03-23,162.7,17.92K
HNX 30,2017-03-24,166.56,45.85K
HNX 30,2017-03-27,167.46,35.87K
HNX 30,2017-03-28,165.82,26.26K
HNX 30,2017-03-29,166.3,24.60K
HNX 30,2017-03-30,167.36,20.69K
HNX 30,2017-03-31,165.97,20.33K
HNX 30,2017-04-03,165.54,19.91K
HNX 30,2017-04-04,166.08,33.58K
HNX 30,2017-04-05,164.45,24.08K
HNX 30,2017-04-07,163.44,22.92K
HNX 30,2017-04-10,165.66,49.47K
HNX 30,2017-04-11,168.47,55.78K
HNX 30,2017-04-12,167.12,33.52K
HNX 30,2017-04-13,168.23,32.75K
HNX 30,2017-04-14,168.0,37.81K
HNX 30,2017-04-17,164.24,38.68K
HNX 30,2017-04-18,166.43,45.50K
HNX 30,2017-04-19,166.67,35.08K
HNX 30,2017-04-20,164.43,27.31K
HNX 30,2017-04-21,165.93,27.61K
HNX 30,2017-04-24,164.82,26.92K
HNX 30,2017-04-25,163.97,38.83K
HNX 30,2017-04-26,164.92,32.63K
HNX 30,2017-04-27,167.14,34.70K
HNX 30,2017-04-28,166.8,33.29K
HNX 30,2017-05-03,166.67,30.37K
HNX 30,2017-05-04,165.56,30.00K
HNX 30,2017-05-05,166.54,27.69K
HNX 30,2017-05-08,165.5,23.50K
HNX 30,2017-05-09,168.53,31.36K
HNX 30,2017-05-10,168.0,32.42K
HNX 30,2017-05-11,167.03,25.22K
HNX 30,2017-05-12,168.0,26.07K
HNX 30,2017-05-15,170.4,37.07K
HNX 30,2017-05-16,170.29,46.48K
HNX 30,2017-05-17,172.09,35.52K
HNX 30,2017-05-18,170.65,40.29K
HNX 30,2017-05-19,172.47,36.27K
HNX 30,2017-05-22,173.83,48.30K
HNX 30,2017-05-23,171.64,30.48K
HNX 30,2017-05-24,173.04,43.31K
HNX 30,2017-05-25,174.45,39.73K
HNX 30,2017-05-26,174.64,26.22K
HNX 30,2017-05-29,175.08,27.34K
HNX 30,2017-05-30,172.92,42.08K
HNX 30,2017-05-31,173.99,47.06K
HNX 30,2017-06-01,173.92,25.76K
HNX 30,2017-06-02,173.99,37.86K
HNX 30,2017-06-05,174.56,30.45K
HNX 30,2017-06-06,174.99,32.85K
HNX 30,2017-06-07,177.54,54.91K
HNX 30,2017-06-08,176.64,34.85K
HNX 30,2017-06-09,177.11,26.43K
HNX 30,2017-06-12,176.71,25.11K
HNX 30,2017-06-13,178.12,26.53K
HNX 30,2017-06-14,178.71,27.69K
HNX 30,2017-06-15,178.15,24.53K
HNX 30,2017-06-16,178.68,26.75K
HNX 30,2017-06-19,180.29,40.71K
HNX 30,2017-06-20,180.61,38.05K
HNX 30,2017-06-21,179.29,42.50K
HNX 30,2017-06-22,178.63,31.23K
HNX 30,2017-06-23,179.36,27.63K
HNX 30,2017-06-26,180.42,20.72K
HNX 30,2017-06-27,178.74,23.54K
HNX 30,2017-06-28,180.04,17.38K
HNX 30,2017-06-29,181.47,18.81K
HNX 30,2017-06-30,182.83,19.43K
HNX 30,2017-07-03,185.62,42.54K
HNX 30,2017-07-04,185.51,26.95K
HNX 30,2017-07-05,188.05,26.12K
HNX 30,2017-07-06,190.42,36.89K
HNX 30,2017-07-07,187.07,47.30K
HNX 30,2017-07-10,184.64,44.36K
HNX 30,2017-07-11,185.59,23.69K
HNX 30,2017-07-12,186.14,16.88K
HNX 30,2017-07-13,186.89,20.74K
HNX 30,2017-07-14,186.55,23.91K
HNX 30,2017-07-17,182.11,35.33K
HNX 30,2017-07-18,181.91,22.84K
HNX 30,2017-07-19,182.88,21.08K
HNX 30,2017-07-20,182.85,16.76K
HNX 30,2017-07-21,180.56,21.93K
HNX 30,2017-07-24,178.31,27.25K
HNX 30,2017-07-25,179.64,20.57K
HNX 30,2017-07-26,183.07,25.92K
HNX 30,2017-07-27,184.17,18.33K
HNX 30,2017-07-28,185.45,34.77K
HNX 30,2017-07-31,187.18,31.65K
HNX 30,2017-08-01,187.49,24.11K
HNX 30,2017-08-02,186.47,27.03K
HNX 30,2017-08-03,188.09,22.60K
HNX 30,2017-08-04,190.01,25.69K
HNX 30,2017-08-07,190.77,34.06K
HNX 30,2017-08-08,189.81,23.49K
HNX 30,2017-08-09,186.87,39.59K
HNX 30,2017-08-10,186.98,20.51K
HNX 30,2017-08-11,186.93,13.48K
HNX 30,2017-08-14,188.72,14.56K
HNX 30,2017-08-15,187.67,14.70K
HNX 30,2017-08-16,188.7,15.20K
HNX 30,2017-08-17,185.77,22.31K
HNX 30,2017-08-18,187.13,18.39K
HNX 30,2017-08-21,186.75,17.44K
HNX 30,2017-08-22,185.9,16.91K
HNX 30,2017-08-23,186.26,12.34K
HNX 30,2017-08-24,188.04,18.58K
HNX 30,2017-08-25,188.17,18.39K
HNX 30,2017-08-28,190.3,19.84K
HNX 30,2017-08-29,190.28,18.31K
HNX 30,2017-08-30,189.78,15.08K
HNX 30,2017-08-31,191.85,21.76K
HNX 30,2017-09-01,191.26,11.27K
HNX 30,2017-09-05,192.41,15.72K
HNX 30,2017-09-06,193.26,16.16K
HNX 30,2017-09-07,193.52,13.51K
HNX 30,2017-09-08,192.76,21.34K
HNX 30,2017-09-11,190.8,16.80K
HNX 30,2017-09-12,192.32,13.65K
HNX 30,2017-09-13,193.26,15.43K
HNX 30,2017-09-14,192.52,21.34K
HNX 30,2017-09-15,192.83,12.36K
HNX 30,2017-09-18,194.88,34.41K
HNX 30,2017-09-19,193.74,19.24K
HNX 30,2017-09-20,194.74,33.47K
HNX 30,2017-09-21,195.11,19.36K
HNX 30,2017-09-22,195.66,16.10K
HNX 30,2017-09-25,196.88,21.23K
HNX 30,2017-09-26,198.09,26.96K
HNX 30,2017-09-27,198.33,18.86K
HNX 30,2017-09-28,197.94,18.46K
HNX 30,2017-09-29,198.22,14.96K
HNX 30,2017-10-02,197.46,17.11K
HNX 30,2017-10-03,195.69,18.60K
HNX 30,2017-10-04,197.56,13.18K
HNX 30,2017-10-05,196.3,19.02K
HNX 30,2017-10-06,197.5,15.68K
HNX 30,2017-10-09,198.78,28.43K
HNX 30,2017-10-10,199.08,17.14K
HNX 30,2017-10-11,199.96,22.29K
HNX 30,2017-10-12,199.23,15.72K
HNX 30,2017-10-13,200.82,16.95K
HNX 30,2017-10-16,201.25,20.21K
HNX 30,2017-10-17,202.68,24.24K
HNX 30,2017-10-18,201.57,25.61K
HNX 30,2017-10-19,201.14,16.84K
HNX 30,2017-10-20,199.51,17.33K
HNX 30,2017-10-23,196.03,24.19K
HNX 30,2017-10-24,196.17,18.37K
HNX 30,2017-10-25,197.69,17.17K
HNX 30,2017-10-26,195.97,22.76K
HNX 30,2017-10-27,196.18,14.87K
HNX 30,2017-10-30,196.2,20.50K
HNX 30,2017-10-31,194.53,18.99K
HNX 30,2017-11-01,193.87,26.50K
HNX 30,2017-11-02,190.91,19.07K
HNX 30,2017-11-03,192.95,21.53K
HNX 30,2017-11-06,195.17,20.02K
HNX 30,2017-11-07,195.58,20.81K
HNX 30,2017-11-08,197.54,23.41K
HNX 30,2017-11-09,198.15,19.11K
HNX 30,2017-11-10,198.36,18.69K
HNX 30,2017-11-13,201.22,26.90K
HNX 30,2017-11-14,201.3,28.45K
HNX 30,2017-11-15,201.99,18.35K
HNX 30,2017-11-16,203.23,32.44K
HNX 30,2017-11-17,203.43,39.97K
HNX 30,2017-11-20,203.34,26.32K
HNX 30,2017-11-21,203.18,28.95K
HNX 30,2017-11-22,205.67,33.30K
HNX 30,2017-11-23,208.48,62.02K
HNX 30,2017-11-24,210.22,34.52K
HNX 30,2017-11-27,214.57,57.40K
HNX 30,2017-11-28,213.35,35.84K
HNX 30,2017-11-29,219.54,39.91K
HNX 30,2017-11-30,220.44,47.04K
HNX 30,2017-12-01,222.08,43.30K
HNX 30,2017-12-04,225.43,63.23K
HNX 30,2017-12-05,217.03,50.22K
HNX 30,2017-12-06,218.6,45.64K
HNX 30,2017-12-07,219.64,28.94K
HNX 30,2017-12-08,217.06,23.78K
HNX 30,2017-12-11,211.09,45.98K
HNX 30,2017-12-12,210.61,63.99K
HNX 30,2017-12-13,211.05,28.80K
HNX 30,2017-12-14,213.48,22.02K
HNX 30,2017-12-15,213.74,22.66K
HNX 30,2017-12-18,218.38,38.36K
HNX 30,2017-12-19,217.96,27.75K
HNX 30,2017-12-20,219.76,34.83K
HNX 30,2017-12-21,218.1,35.74K
HNX 30,2017-12-22,216.13,26.16K
HNX 30,2017-12-25,216.76,22.09K
HNX 30,2017-12-26,218.64,28.09K
HNX 30,2017-12-27,219.64,32.66K
HNX 30,2017-12-28,221.52,28.64K
HNX 30,2017-12-29,221.6,32.40K
HNX 30,2018-01-02,225.44,47.59K
HNX 30,2018-01-03,229.57,50.54K
HNX 30,2018-01-04,230.35,36.41K
HNX 30,2018-01-05,228.79,45.00K
HNX 30,2018-01-08,234.23,39.49K
HNX 30,2018-01-09,238.14,52.08K
HNX 30,2018-01-10,239.49,51.31K
HNX 30,2018-01-11,243.29,52.52K
HNX 30,2018-01-12,237.11,93.57K
HNX 30,2018-01-15,241.03,44.10K
HNX 30,2018-01-16,239.48,38.36K
HNX 30,2018-01-17,235.9,52.26K
HNX 30,2018-01-18,240.25,52.53K
HNX 30,2018-01-19,241.66,46.81K
HNX 30,2018-01-22,246.12,49.15K
HNX 30,2018-01-23,252.64,54.82K
HNX 30,2018-01-24,252.69,37.00K
HNX 30,2018-01-25,253.3,60.03K
HNX 30,2018-01-26,254.38,50.56K
HNX 30,2018-01-29,257.58,53.83K
HNX 30,2018-01-30,259.37,54.92K
HNX 30,2018-01-31,252.67,65.43K
HNX 30,2018-02-01,245.07,80.96K
HNX 30,2018-02-02,246.97,35.00K
HNX 30,2018-02-05,232.66,53.65K
HNX 30,2018-02-06,224.37,89.48K
HNX 30,2018-02-07,232.83,42.78K
HNX 30,2018-02-08,225.57,28.35K
HNX 30,2018-02-09,226.51,45.06K
HNX 30,2018-02-12,237.03,29.65K
HNX 30,2018-02-13,241.62,33.14K
HNX 30,2018-02-21,244.02,41.72K
HNX 30,2018-02-22,240.47,39.89K
HNX 30,2018-02-23,244.6,34.17K
HNX 30,2018-02-26,242.96,59.45K
HNX 30,2018-02-27,244.76,36.41K
HNX 30,2018-02-28,245.47,41.11K
HNX 30,2018-03-01,245.76,46.20K
HNX 30,2018-03-02,248.81,38.25K
HNX 30,2018-03-05,244.47,49.54K
HNX 30,2018-03-06,246.45,39.94K
HNX 30,2018-03-07,242.16,43.28K
HNX 30,2018-03-08,243.63,32.54K
HNX 30,2018-03-09,245.93,32.17K
HNX 30,2018-03-12,247.45,35.74K
HNX 30,2018-03-13,248.85,34.29K
HNX 30,2018-03-14,251.56,58.61K
HNX 30,2018-03-15,253.1,48.14K
HNX 30,2018-03-16,257.3,52.72K
HNX 30,2018-03-19,258.72,57.32K
HNX 30,2018-03-20,259.71,37.03K
HNX 30,2018-03-21,259.81,41.38K
HNX 30,2018-03-22,258.03,45.12K
HNX 30,2018-03-23,254.24,59.22K
HNX 30,2018-03-26,256.5,46.60K
HNX 30,2018-03-27,253.72,47.81K
HNX 30,2018-03-28,252.89,28.29K
HNX 30,2018-03-29,250.86,26.29K
HNX 30,2018-03-30,252.73,29.21K
HNX 30,2018-04-02,257.62,37.17K
HNX 30,2018-04-03,259.32,40.74K
HNX 30,2018-04-04,258.39,42.06K
HNX 30,2018-04-05,261.46,32.05K
HNX 30,2018-04-06,261.65,43.54K
HNX 30,2018-04-09,260.0,55.72K
HNX 30,2018-04-10,256.94,49.13K
HNX 30,2018-04-11,250.64,53.55K
HNX 30,2018-04-12,254.82,36.19K
HNX 30,2018-04-13,249.84,33.58K
HNX 30,2018-04-16,249.62,26.15K
HNX 30,2018-04-17,250.67,27.45K
HNX 30,2018-04-18,247.35,39.57K
HNX 30,2018-04-19,244.24,39.53K
HNX 30,2018-04-20,248.08,23.42K
HNX 30,2018-04-23,234.93,48.01K
HNX 30,2018-04-24,236.06,33.85K
HNX 30,2018-04-26,223.49,38.74K
HNX 30,2018-04-27,227.44,31.27K
HNX 30,2018-05-02,222.06,30.65K
HNX 30,2018-05-03,223.42,34.28K
HNX 30,2018-05-04,224.2,24.57K
HNX 30,2018-05-07,232.08,29.65K
HNX 30,2018-05-08,229.63,24.48K
HNX 30,2018-05-09,227.56,21.51K
HNX 30,2018-05-10,223.01,27.93K
HNX 30,2018-05-11,224.49,20.47K
HNX 30,2018-05-14,225.36,12.87K
HNX 30,2018-05-15,226.28,22.73K
HNX 30,2018-05-16,223.86,21.69K
HNX 30,2018-05-17,224.78,26.01K
HNX 30,2018-05-18,224.28,30.62K
HNX 30,2018-05-21,220.7,22.55K
HNX 30,2018-05-22,213.07,39.98K
HNX 30,2018-05-23,217.75,23.70K
HNX 30,2018-05-24,215.62,15.23K
HNX 30,2018-05-25,208.13,28.44K
HNX 30,2018-05-28,193.06,43.28K
HNX 30,2018-05-29,203.91,29.63K
HNX 30,2018-05-30,202.23,20.48K
HNX 30,2018-05-31,208.64,24.99K
HNX 30,2018-06-01,209.11,30.72K
HNX 30,2018-06-04,214.5,33.91K
HNX 30,2018-06-05,215.08,29.76K
HNX 30,2018-06-06,219.91,31.36K
HNX 30,2018-06-07,217.63,26.96K
HNX 30,2018-06-08,218.14,20.25K
HNX 30,2018-06-11,213.96,19.97K
HNX 30,2018-06-12,208.9,33.65K
HNX 30,2018-06-13,210.39,13.85K
HNX 30,2018-06-14,206.32,19.91K
HNX 30,2018-06-15,207.98,17.78K
HNX 30,2018-06-18,201.8,23.30K
HNX 30,2018-06-19,195.3,41.39K
HNX 30,2018-06-20,200.21,19.61K
HNX 30,2018-06-21,197.34,16.42K
HNX 30,2018-06-22,200.49,19.75K
HNX 30,2018-06-25,200.59,16.89K
HNX 30,2018-06-26,198.32,13.25K
HNX 30,2018-06-27,198.1,21.91K
HNX 30,2018-06-28,192.22,24.77K
HNX 30,2018-06-29,189.63,18.33K
HNX 30,2018-07-02,185.33,30.41K
HNX 30,2018-07-03,178.61,28.23K
HNX 30,2018-07-04,179.7,20.36K
HNX 30,2018-07-05,172.71,25.44K
HNX 30,2018-07-06,179.8,30.63K
HNX 30,2018-07-09,178.93,22.51K
HNX 30,2018-07-10,179.07,16.06K
HNX 30,2018-07-11,174.69,28.17K
HNX 30,2018-07-12,177.59,17.33K
HNX 30,2018-07-13,182.81,18.37K
HNX 30,2018-07-16,183.63,15.58K
HNX 30,2018-07-17,185.32,21.27K
HNX 30,2018-07-18,191.58,29.61K
HNX 30,2018-07-19,188.79,23.51K
HNX 30,2018-07-20,191.34,26.00K
HNX 30,2018-07-23,190.22,26.96K
HNX 30,2018-07-24,190.41,28.10K
HNX 30,2018-07-25,186.72,20.61K
HNX 30,2018-07-26,187.83,21.81K
HNX 30,2018-07-27,189.68,25.81K
HNX 30,2018-07-30,191.91,20.43K
HNX 30,2018-07-31,190.35,20.24K
HNX 30,2018-08-01,189.03,29.17K
HNX 30,2018-08-02,189.68,24.56K
HNX 30,2018-08-03,191.6,25.62K
HNX 30,2018-08-06,189.86,19.88K
HNX 30,2018-08-07,189.27,17.39K
HNX 30,2018-08-08,192.89,28.29K
HNX 30,2018-08-09,192.06,28.32K
HNX 30,2018-08-10,193.22,22.40K
HNX 30,2018-08-13,197.07,44.69K
HNX 30,2018-08-14,197.44,23.61K
HNX 30,2018-08-15,192.0,35.85K
HNX 30,2018-08-16,191.95,29.88K
HNX 30,2018-08-17,191.59,19.90K
HNX 30,2018-08-20,192.22,16.07K
HNX 30,2018-08-21,196.3,26.32K
HNX 30,2018-08-22,196.59,26.55K
HNX 30,2018-08-23,197.93,19.85K
HNX 30,2018-08-24,200.01,31.93K
HNX 30,2018-08-27,200.63,34.31K
HNX 30,2018-08-28,202.63,31.46K
HNX 30,2018-08-29,203.72,23.34K
HNX 30,2018-08-30,205.75,26.41K
HNX 30,2018-08-31,204.13,25.40K
HNX 30,2018-09-04,201.76,29.80K
HNX 30,2018-09-05,199.91,29.35K
HNX 30,2018-09-06,200.21,21.84K
HNX 30,2018-09-07,201.1,22.42K
HNX 30,2018-09-10,199.03,17.82K
HNX 30,2018-09-11,201.53,23.53K
HNX 30,2018-09-12,202.97,29.63K
HNX 30,2018-09-13,204.65,32.79K
HNX 30,2018-09-14,205.6,21.95K
HNX 30,2018-09-17,205.56,23.13K
HNX 30,2018-09-18,208.25,32.84K
HNX 30,2018-09-19,209.96,42.21K
HNX 30,2018-09-20,212.25,26.96K
HNX 30,2018-09-21,212.98,50.17K
HNX 30,2018-09-24,213.21,31.92K
HNX 30,2018-09-25,214.21,36.44K
HNX 30,2018-09-26,213.98,36.54K
HNX 30,2018-09-27,216.25,43.25K
HNX 30,2018-09-28,215.35,34.41K
HNX 30,2018-10-01,214.26,37.79K
HNX 30,2018-10-02,214.19,39.62K
HNX 30,2018-10-03,215.66,24.21K
HNX 30,2018-10-04,216.91,27.06K
HNX 30,2018-10-05,211.74,32.56K
HNX 30,2018-10-08,210.22,28.34K
HNX 30,2018-10-09,210.2,20.71K
HNX 30,2018-10-10,209.14,25.09K
HNX 30,2018-10-11,195.16,68.77K
HNX 30,2018-10-12,200.45,33.57K
HNX 30,2018-10-15,196.07,17.46K
HNX 30,2018-10-16,198.39,19.63K
HNX 30,2018-10-17,200.27,22.58K
HNX 30,2018-10-18,196.32,16.99K
HNX 30,2018-10-19,196.91,22.24K
HNX 30,2018-10-22,195.76,19.19K
HNX 30,2018-10-23,191.14,33.41K
HNX 30,2018-10-24,186.8,21.88K
HNX 30,2018-10-25,186.2,28.85K
HNX 30,2018-10-26,183.11,19.11K
HNX 30,2018-10-29,182.05,19.50K
HNX 30,2018-10-30,182.46,22.79K
HNX 30,2018-10-31,189.34,23.29K
HNX 30,2018-11-01,185.47,17.28K
HNX 30,2018-11-02,190.07,21.83K
HNX 30,2018-11-05,190.31,17.16K
HNX 30,2018-11-06,188.77,17.49K
HNX 30,2018-11-07,188.14,16.03K
HNX 30,2018-11-08,188.43,17.13K
HNX 30,2018-11-09,184.76,17.77K
HNX 30,2018-11-12,186.28,16.72K
HNX 30,2018-11-13,184.1,16.95K
HNX 30,2018-11-14,182.04,17.49K
HNX 30,2018-11-15,181.48,20.97K
HNX 30,2018-11-16,184.48,18.89K
HNX 30,2018-11-19,186.31,15.31K
HNX 30,2018-11-20,186.38,17.61K
HNX 30,2018-11-21,187.04,17.48K
HNX 30,2018-11-22,187.73,18.85K
HNX 30,2018-11-23,188.55,24.78K
HNX 30,2018-11-26,186.71,19.96K
HNX 30,2018-11-27,185.36,16.16K
HNX 30,2018-11-28,187.34,16.58K
HNX 30,2018-11-29,187.05,16.37K
HNX 30,2018-11-30,188.47,17.98K
HNX 30,2018-12-03,193.21,31.11K
HNX 30,2018-12-04,193.38,25.04K
HNX 30,2018-12-05,194.53,29.55K
HNX 30,2018-12-06,193.44,22.32K
HNX 30,2018-12-07,194.35,22.22K
HNX 30,2018-12-10,193.44,19.21K
HNX 30,2018-12-11,192.73,19.07K
HNX 30,2018-12-12,195.71,19.43K
HNX 30,2018-12-13,195.56,20.60K
HNX 30,2018-12-14,194.46,18.91K
HNX 30,2018-12-17,191.31,21.65K
HNX 30,2018-12-18,189.35,25.20K
HNX 30,2018-12-19,189.13,20.99K
HNX 30,2018-12-20,190.98,16.65K
HNX 30,2018-12-21,192.28,20.13K
HNX 30,2018-12-24,189.0,26.19K
HNX 30,2018-12-25,186.15,27.38K
HNX 30,2018-12-26,185.08,15.24K
HNX 30,2018-12-27,186.74,18.83K
HNX 30,2018-12-28,185.61,15.42K
HNX 30,2019-01-02,182.2,13.43K
HNX 30,2019-01-03,179.55,20.32K
HNX 30,2019-01-04,180.49,17.07K
HNX 30,2019-01-07,183.54,13.72K
HNX 30,2019-01-08,182.15,13.59K
HNX 30,2019-01-09,183.55,17.86K
HNX 30,2019-01-10,182.27,13.81K
HNX 30,2019-01-11,182.52,12.63K
HNX 30,2019-01-14,182.42,15.06K
HNX 30,2019-01-15,184.57,13.28K
HNX 30,2019-01-16,183.19,10.30K
HNX 30,2019-01-17,182.47,8.99K
HNX 30,2019-01-18,182.92,14.94K
HNX 30,2019-01-21,186.49,22.11K
HNX 30,2019-01-22,184.47,12.96K
HNX 30,2019-01-23,185.23,9.81K
HNX 30,2019-01-24,185.48,16.13K
HNX 30,2019-01-25,185.84,9.83K
HNX 30,2019-01-28,185.65,16.62K
HNX 30,2019-01-29,185.9,12.34K
HNX 30,2019-01-30,186.27,14.06K
HNX 30,2019-01-31,186.33,12.80K
HNX 30,2019-02-01,187.12,7.33K
HNX 30,2019-02-11,191.41,20.98K
HNX 30,2019-02-12,192.59,22.53K
HNX 30,2019-02-13,193.89,20.95K
HNX 30,2019-02-14,193.84,23.15K
HNX 30,2019-02-15,193.13,20.45K
HNX 30,2019-02-18,195.13,23.95K
HNX 30,2019-02-19,193.03,25.15K
HNX 30,2019-02-20,193.17,17.37K
HNX 30,2019-02-21,193.93,20.15K
HNX 30,2019-02-22,194.8,21.92K
HNX 30,2019-02-25,196.29,22.44K
HNX 30,2019-02-26,197.68,24.99K
HNX 30,2019-02-27,198.01,21.49K
HNX 30,2019-02-28,194.22,26.55K
HNX 30,2019-03-01,198.08,15.56K
HNX 30,2019-03-04,201.2,27.42K
HNX 30,2019-03-05,200.35,29.18K
HNX 30,2019-03-06,200.79,24.63K
HNX 30,2019-03-07,201.01,40.04K
HNX 30,2019-03-08,199.14,20.67K
HNX 30,2019-03-11,199.07,16.47K
HNX 30,2019-03-12,201.98,30.13K
HNX 30,2019-03-13,201.08,34.56K
HNX 30,2019-03-14,201.32,24.60K
HNX 30,2019-03-15,201.9,23.56K
HNX 30,2019-03-18,202.09,21.93K
HNX 30,2019-03-19,201.73,31.22K
HNX 30,2019-03-20,201.16,22.25K
HNX 30,2019-03-21,197.2,22.48K
HNX 30,2019-03-22,197.76,17.11K
HNX 30,2019-03-25,193.45,25.68K
HNX 30,2019-03-26,194.25,14.58K
HNX 30,2019-03-27,196.08,13.18K
HNX 30,2019-03-28,194.85,15.55K
HNX 30,2019-03-29,194.74,16.77K
HNX 30,2019-04-01,196.35,12.67K
HNX 30,2019-04-02,195.88,15.04K
HNX 30,2019-04-03,195.99,17.55K
HNX 30,2019-04-04,196.59,16.74K
HNX 30,2019-04-05,198.06,12.86K
HNX 30,2019-04-08,200.08,23.24K
HNX 30,2019-04-09,196.19,21.59K
HNX 30,2019-04-10,196.41,16.71K
HNX 30,2019-04-11,196.12,10.21K
HNX 30,2019-04-12,196.93,11.74K
HNX 30,2019-04-16,195.57,15.71K
HNX 30,2019-04-17,193.17,13.80K
HNX 30,2019-04-18,191.24,15.62K
HNX 30,2019-04-19,191.68,8.28K
HNX 30,2019-04-22,192.63,14.18K
HNX 30,2019-04-23,193.61,11.96K
HNX 30,2019-04-24,195.0,16.82K
HNX 30,2019-04-25,194.44,9.99K
HNX 30,2019-04-26,195.7,11.14K
HNX 30,2019-05-02,196.07,18.58K
HNX 30,2019-05-03,195.09,10.20K
HNX 30,2019-05-06,191.73,21.45K
HNX 30,2019-05-07,193.31,14.66K
HNX 30,2019-05-08,193.55,13.92K
HNX 30,2019-05-09,192.12,9.93K
HNX 30,2019-05-10,193.94,12.46K
HNX 30,2019-05-13,193.53,16.91K
HNX 30,2019-05-14,195.21,20.51K
HNX 30,2019-05-15,196.43,17.58K
HNX 30,2019-05-16,195.78,14.41K
HNX 30,2019-05-17,195.07,19.19K
HNX 30,2019-05-20,196.82,16.49K
HNX 30,2019-05-21,195.8,13.80K
HNX 30,2019-05-22,194.59,24.30K
HNX 30,2019-05-23,195.57,18.51K
HNX 30,2019-05-24,193.2,20.44K
HNX 30,2019-05-27,193.75,9.98K
HNX 30,2019-05-28,193.81,14.00K
HNX 30,2019-05-29,193.2,13.79K
HNX 30,2019-05-30,193.25,10.88K
HNX 30,2019-05-31,190.04,15.21K
HNX 30,2019-06-03,187.02,17.67K
HNX 30,2019-06-04,187.37,10.27K
HNX 30,2019-06-05,187.41,10.29K
HNX 30,2019-06-06,187.11,9.70K
HNX 30,2019-06-07,191.19,12.05K
HNX 30,2019-06-10,190.79,8.67K
HNX 30,2019-06-11,190.42,10.29K
HNX 30,2019-06-12,189.36,9.04K
HNX 30,2019-06-13,189.15,9.75K
HNX 30,2019-06-14,188.27,9.42K
HNX 30,2019-06-17,188.58,11.31K
HNX 30,2019-06-18,189.24,10.55K
HNX 30,2019-06-19,188.92,10.84K
HNX 30,2019-06-20,191.32,13.08K
HNX 30,2019-06-21,190.56,12.95K
HNX 30,2019-06-24,189.96,12.23K
HNX 30,2019-06-25,188.73,13.59K
HNX 30,2019-06-26,188.57,13.27K
HNX 30,2019-06-27,186.74,18.32K
HNX 30,2019-06-28,188.31,14.13K
HNX 30,2019-07-01,189.31,12.74K
HNX 30,2019-07-02,188.04,15.75K
HNX 30,2019-07-03,189.58,9.74K
HNX 30,2019-07-04,190.67,12.20K
HNX 30,2019-07-05,190.77,8.89K
HNX 30,2019-07-08,189.48,9.38K
HNX 30,2019-07-09,191.27,10.40K
HNX 30,2019-07-10,192.43,14.68K
HNX 30,2019-07-11,193.93,15.17K
HNX 30,2019-07-12,194.4,17.53K
HNX 30,2019-07-15,194.16,12.64K
HNX 30,2019-07-16,195.3,15.84K
HNX 30,2019-07-17,196.27,23.22K
HNX 30,2019-07-18,195.66,18.41K
HNX 30,2019-07-19,195.89,19.33K
HNX 30,2019-07-22,195.0,15.36K
