"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2023","992.95","1,002.86","1,003.55","992.13","1.59B","-0.97%"
"01/30/2023","1,002.72","1,004.06","1,005.20","999.30","1.26B","-0.04%"
"01/27/2023","1,003.12","999.54","1,005.32","996.04","1.16B","0.54%"
"01/26/2023","997.69","1,004.97","1,006.22","994.82","1.29B","-0.73%"
"01/25/2023","1,005.04","1,007.48","1,008.75","1,002.17","1.17B","-0.01%"
"01/24/2023","1,005.12","1,009.80","1,013.53","1,004.93","824.13M","-0.10%"
"01/23/2023","1,006.08","1,004.42","1,010.64","1,001.88","1.11B","0.41%"
"01/20/2023","1,001.97","1,009.04","1,009.82","998.39","1.61B","-0.83%"
"01/19/2023","1,010.31","1,005.61","1,011.63","1,004.83","1.01B","0.21%"
"01/18/2023","1,008.22","1,005.34","1,010.03","1,003.28","1.09B","0.39%"
"01/17/2023","1,004.34","1,007.91","1,009.95","1,002.53","1.02B","-0.31%"
"01/16/2023","1,007.45","1,009.29","1,012.57","1,003.50","1.09B","0.10%"
"01/13/2023","1,006.49","1,014.31","1,016.63","1,001.50","1.84B","-0.52%"
"01/12/2023","1,011.80","1,013.26","1,015.10","1,006.74","1.17B","0.02%"
"01/11/2023","1,011.61","1,017.20","1,018.37","1,008.59","1.30B","-0.53%"
"01/10/2023","1,017.02","1,019.61","1,020.39","1,012.62","1.42B","-0.09%"
"01/09/2023","1,017.96","1,015.57","1,020.24","1,014.48","1.40B","1.03%"
"01/06/2023","1,007.61","1,003.79","1,011.48","1,002.84","1.66B","0.51%"
"01/05/2023","1,002.46","1,009.94","1,011.34","999.82","1.77B","-0.74%"
"01/04/2023","1,009.90","1,013.30","1,018.70","1,005.99","1.40B","-0.34%"
"01/03/2023","1,013.39","1,009.84","1,016.78","1,007.95","1.19B","0.81%"
"12/30/2022","1,005.24","1,010.12","1,014.08","1,005.10","1.77B","-0.49%"
"12/29/2022","1,010.19","998.37","1,011.44","995.90","1.17B","0.96%"
"12/28/2022","1,000.54","996.23","1,002.07","994.18","814.76M","0.45%"
"12/27/2022","996.07","986.71","998.02","986.02","1.22B","1.28%"
"12/26/2022","983.51","980.11","985.48","979.23","525.43M","0.54%"
"12/23/2022","978.21","974.47","979.92","972.89","739.02M","0.04%"
"12/22/2022","977.86","976.12","978.43","973.80","678.33M","0.43%"
"12/21/2022","973.64","975.13","975.30","969.31","940.28M","0.00%"
"12/20/2022","973.67","979.80","980.49","968.38","1.08B","-0.59%"
"12/19/2022","979.42","979.57","982.62","975.22","1.17B","-0.08%"
"12/16/2022","980.24","975.34","980.60","973.29","1.54B","0.17%"
"12/15/2022","978.58","983.87","985.33","975.72","1.09B","-0.62%"
