"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2023","2,240.18","2,258.60","2,261.10","2,239.08","2.71B","-0.79%"
"01/30/2023","2,257.99","2,261.13","2,263.63","2,250.73","2.15B","-0.02%"
"01/27/2023","2,258.37","2,249.27","2,263.10","2,242.27","1.90B","0.60%"
"01/26/2023","2,244.82","2,260.74","2,263.94","2,238.66","2.48B","-0.69%"
"01/25/2023","2,260.35","2,267.40","2,269.32","2,255.22","2.15B","-0.08%"
"01/24/2023","2,262.22","2,272.98","2,280.32","2,261.77","1.65B","-0.11%"
"01/23/2023","2,264.62","2,261.33","2,274.48","2,256.16","1.87B","0.40%"
"01/20/2023","2,255.69","2,271.25","2,272.98","2,247.99","2.77B","-0.78%"
"01/19/2023","2,273.52","2,262.71","2,276.19","2,261.50","1.81B","0.23%"
"01/18/2023","2,268.25","2,263.88","2,274.31","2,258.67","2.12B","0.29%"
"01/17/2023","2,261.78","2,269.50","2,273.91","2,258.34","1.75B","-0.28%"
"01/16/2023","2,268.10","2,273.15","2,279.73","2,260.39","1.83B","0.07%"
"01/13/2023","2,266.49","2,282.50","2,288.55","2,255.53","3.31B","-0.43%"
"01/12/2023","2,276.39","2,278.57","2,282.53","2,265.18","2.42B","0.06%"
"01/11/2023","2,274.98","2,287.29","2,289.55","2,268.98","2.35B","-0.48%"
"01/10/2023","2,285.87","2,290.42","2,292.83","2,276.49","2.79B","-0.03%"
"01/09/2023","2,286.56","2,279.03","2,291.21","2,277.92","2.41B","1.11%"
"01/06/2023","2,261.48","2,251.26","2,268.84","2,249.53","2.66B","0.60%"
"01/05/2023","2,247.94","2,265.24","2,268.20","2,241.97","2.97B","-0.73%"
"01/04/2023","2,264.44","2,274.54","2,283.83","2,256.37","2.35B","-0.45%"
"01/03/2023","2,274.61","2,268.25","2,281.46","2,264.35","2.19B","0.74%"
"12/30/2022","2,257.94","2,268.24","2,276.54","2,257.66","2.67B","-0.45%"
"12/29/2022","2,268.16","2,243.07","2,270.30","2,237.90","1.84B","0.93%"
"12/28/2022","2,247.34","2,238.33","2,250.61","2,234.11","1.49B","0.43%"
"12/27/2022","2,237.64","2,218.02","2,241.77","2,216.26","1.79B","1.24%"
"12/26/2022","2,210.31","2,202.16","2,214.59","2,201.39","963.12M","0.57%"
"12/23/2022","2,197.79","2,190.12","2,201.77","2,186.20","1.23B","0.02%"
"12/22/2022","2,197.44","2,194.26","2,199.01","2,189.44","1.21B","0.43%"
"12/21/2022","2,187.99","2,192.00","2,192.71","2,179.46","1.49B","0.00%"
"12/20/2022","2,188.01","2,203.16","2,204.93","2,176.31","2.06B","-0.63%"
"12/19/2022","2,201.81","2,202.47","2,209.57","2,193.38","2.02B","-0.10%"
"12/16/2022","2,203.93","2,194.20","2,205.33","2,190.47","2.83B","0.10%"
"12/15/2022","2,201.69","2,216.73","2,219.33","2,195.76","2.21B","-0.76%"
"12/14/2022","2,218.53","2,216.22","2,224.50","2,211.49","2.32B","0.35%"
"12/13/2022","2,210.70","2,214.62","2,218.43","2,202.14","1.60B","0.20%"
"12/09/2022","2,206.22","2,204.46","2,215.59","2,197.49","1.28B","0.14%"
"12/08/2022","2,203.05","2,207.28","2,208.41","2,193.39","1.60B","-0.10%"
"12/07/2022","2,205.28","2,214.55","2,224.05","2,203.31","1.62B","-0.47%"
"12/06/2022","2,215.64","2,219.36","2,222.25","2,207.91","2.06B","-0.30%"
"12/02/2022","2,222.33","2,235.37","2,236.52","2,218.94","1.33B","-0.63%"
"12/01/2022","2,236.53","2,240.79","2,243.59","2,232.38","2.03B","0.16%"
"11/30/2022","2,233.03","2,218.78","2,234.49","2,211.66","2.60B","0.70%"
"11/29/2022","2,217.52","2,205.56","2,218.74","2,199.50","1.65B","0.70%"
"11/28/2022","2,202.13","2,200.71","2,208.29","2,195.30","1.25B","-0.34%"
"11/25/2022","2,209.66","2,214.62","2,215.68","2,203.68","1.17B","-0.48%"
"11/24/2022","2,220.33","2,225.96","2,228.26","2,213.65","1.48B","0.04%"
"11/23/2022","2,219.39","2,213.22","2,224.17","2,209.67","1.82B","0.60%"
"11/22/2022","2,206.05","2,213.81","2,226.65","2,200.78","1.99B","-0.30%"
"11/21/2022","2,212.70","2,200.30","2,217.29","2,196.82","1.54B","0.33%"
"11/18/2022","2,205.41","2,205.16","2,211.05","2,196.07","1.59B","0.03%"
"11/17/2022","2,204.84","2,208.44","2,211.18","2,197.84","1.58B","-0.41%"
"11/16/2022","2,213.87","2,229.03","2,229.51","2,208.68","1.87B","-0.75%"
"11/15/2022","2,230.68","2,229.33","2,237.65","2,223.58","2.02B","0.18%"
"11/14/2022","2,226.57","2,237.56","2,244.22","2,218.76","1.79B","-0.90%"
"11/11/2022","2,246.82","2,243.56","2,251.27","2,232.03","2.57B","1.32%"
"11/10/2022","2,217.58","2,205.65","2,223.12","2,201.30","1.71B","-0.08%"
"11/09/2022","2,219.37","2,233.00","2,236.99","2,215.09","1.95B","-0.60%"
"11/08/2022","2,232.84","2,225.19","2,238.03","2,224.67","1.50B","0.63%"
"11/07/2022","2,218.79","2,232.41","2,236.79","2,214.07","1.97B","-0.26%"
"11/04/2022","2,224.63","2,225.97","2,239.85","2,222.28","1.80B","0.13%"
"11/03/2022","2,221.77","2,218.32","2,227.49","2,215.16","1.68B","-0.18%"
"11/02/2022","2,225.87","2,226.26","2,233.99","2,219.09","1.61B","0.13%"
"11/01/2022","2,223.07","2,207.50","2,228.47","2,205.51","1.96B","1.05%"
"10/31/2022","2,199.97","2,207.01","2,213.20","2,193.51","1.77B","0.25%"
"10/28/2022","2,194.49","2,194.43","2,199.48","2,181.35","1.61B","0.06%"
"10/27/2022","2,193.24","2,182.09","2,198.42","2,176.65","2.45B","0.77%"
"10/26/2022","2,176.45","2,181.12","2,185.51","2,171.85","3.27B","0.10%"
"10/25/2022","2,174.23","2,173.39","2,177.65","2,165.62","2.67B","0.49%"
"10/21/2022","2,163.63","2,162.92","2,171.03","2,156.23","2.13B","-0.15%"
"10/20/2022","2,166.89","2,142.39","2,169.22","2,138.25","2.78B","0.89%"
"10/19/2022","2,147.84","2,151.24","2,157.43","2,141.37","1.52B","-0.02%"
"10/18/2022","2,148.26","2,131.67","2,155.46","2,129.69","2.26B","1.18%"
"10/17/2022","2,123.11","2,113.96","2,128.05","2,098.34","2.23B","0.52%"
"10/12/2022","2,112.08","2,113.33","2,118.77","2,105.64","1.91B","0.09%"
"10/11/2022","2,110.10","2,113.47","2,118.13","2,103.47","1.75B","-0.41%"
"10/10/2022","2,118.78","2,124.44","2,126.48","2,109.27","2.00B","-0.81%"
"10/07/2022","2,136.06","2,146.06","2,149.14","2,124.83","1.40B","-0.38%"
"10/06/2022","2,144.24","2,145.59","2,158.94","2,144.08","1.94B","0.32%"
"10/05/2022","2,137.30","2,144.76","2,149.71","2,130.02","1.62B","0.22%"
"10/04/2022","2,132.66","2,135.16","2,141.12","2,116.96","1.92B","1.05%"
"10/03/2022","2,110.51","2,147.10","2,156.20","2,107.38","2.52B","-1.88%"
"09/30/2022","2,151.00","2,151.86","2,162.26","2,144.49","1.88B","-0.19%"
"09/29/2022","2,155.00","2,182.59","2,192.92","2,150.81","2.31B","-0.75%"
"09/28/2022","2,171.39","2,176.00","2,182.97","2,167.76","2.34B","-0.92%"
"09/27/2022","2,191.60","2,200.90","2,208.63","2,188.71","2.35B","-0.35%"
"09/26/2022","2,199.31","2,207.97","2,209.58","2,190.32","2.55B","-0.73%"
"09/23/2022","2,215.48","2,234.43","2,239.06","2,214.64","1.75B","-0.89%"
"09/22/2022","2,235.45","2,217.08","2,242.75","2,209.73","1.92B","0.61%"
"09/21/2022","2,221.93","2,230.23","2,233.92","2,221.90","2.35B","-0.32%"
"09/20/2022","2,229.02","2,231.81","2,239.26","2,225.30","1.80B","0.42%"
"09/19/2022","2,219.61","2,223.81","2,227.50","2,216.21","1.62B","-0.04%"
"09/16/2022","2,220.59","2,236.06","2,238.24","2,217.57","3.14B","-0.92%"
"09/15/2022","2,241.32","2,259.68","2,260.94","2,239.97","2.02B","-0.71%"
"09/14/2022","2,257.30","2,245.27","2,262.38","2,242.51","2.02B","-0.49%"
"09/13/2022","2,268.31","2,271.90","2,276.45","2,263.27","2.23B","0.06%"
"09/12/2022","2,267.01","2,259.84","2,274.67","2,258.94","1.82B","0.77%"
"09/09/2022","2,249.77","2,245.25","2,255.24","2,239.21","1.59B","0.59%"
"09/08/2022","2,236.50","2,249.41","2,254.15","2,231.87","2.26B","-0.19%"
"09/07/2022","2,240.76","2,239.85","2,243.72","2,228.92","1.97B","-0.18%"
"09/06/2022","2,244.90","2,234.52","2,250.44","2,231.23","1.90B","0.82%"
"09/05/2022","2,226.55","2,230.31","2,230.70","2,214.99","1.73B","-0.09%"
"09/02/2022","2,228.64","2,228.90","2,235.01","2,212.55","2.15B","0.01%"
"09/01/2022","2,228.39","2,248.49","2,253.92","2,221.32","2.46B","-1.15%"
"08/31/2022","2,254.25","2,238.89","2,258.75","2,235.33","2.51B","0.17%"
"08/30/2022","2,250.42","2,234.67","2,253.83","2,230.35","2.02B","0.90%"
"08/29/2022","2,230.24","2,223.20","2,240.43","2,217.82","2.20B","-1.02%"
"08/26/2022","2,253.11","2,255.33","2,260.10","2,242.47","2.07B","0.00%"
"08/25/2022","2,253.08","2,245.50","2,257.56","2,242.39","2.50B","0.76%"
"08/24/2022","2,236.09","2,232.16","2,245.42","2,223.67","2.86B","0.12%"
"08/23/2022","2,233.47","2,206.94","2,238.11","2,200.67","2.34B","1.05%"
"08/22/2022","2,210.19","2,222.23","2,227.27","2,203.80","1.77B","-0.68%"
"08/19/2022","2,225.27","2,233.88","2,239.83","2,221.39","2.10B","-0.53%"
"08/18/2022","2,237.16","2,239.16","2,244.35","2,228.67","1.95B","-0.24%"
"08/17/2022","2,242.60","2,232.75","2,246.64","2,228.62","2.34B","0.57%"
"08/16/2022","2,229.98","2,234.48","2,236.56","2,224.01","2.28B","0.04%"
"08/15/2022","2,229.13","2,226.16","2,237.47","2,219.79","2.13B","0.12%"
"08/11/2022","2,226.36","2,230.20","2,231.89","2,212.20","2.52B","0.23%"
"08/10/2022","2,221.20","2,216.40","2,221.42","2,202.84","2.26B","0.07%"
"08/09/2022","2,219.75","2,210.98","2,224.26","2,205.23","1.71B","0.37%"
"08/08/2022","2,211.47","2,192.98","2,211.47","2,174.71","2.00B","0.84%"
"08/05/2022","2,192.97","2,192.78","2,194.80","2,181.75","2.12B","0.22%"
"08/04/2022","2,188.05","2,194.60","2,199.52","2,179.02","2.10B","0.00%"
"08/03/2022","2,188.13","2,185.17","2,194.35","2,176.77","1.98B","0.10%"
"08/02/2022","2,185.89","2,180.75","2,193.01","2,176.72","2.06B","-0.01%"
"08/01/2022","2,186.08","2,177.32","2,190.26","2,170.69","2.57B","0.83%"
"07/27/2022","2,168.17","2,151.06","2,168.90","2,143.46","1.72B","0.89%"
"07/26/2022","2,149.06","2,160.21","2,163.26","2,146.92","1.69B","-0.31%"
"07/25/2022","2,155.76","2,147.32","2,160.92","2,137.31","1.55B","0.44%"
